"","Island","Elevation","Flood_Frequency","Flood_Duration","Dry_Period"
"1","NI1",1.675,7.58,0.6,25.8402777777778
"2","NI2",1.647,7.58,0.8,25.8263888888889
"3","NI3",1.559,18.18,2.4,14.9305555555556
"4","NI4",1.465,30.3,5.7,12.8680555555556
"5","NI5",1.486,25.76,4.8,12.8819444444444
"6","NI6",1.523,21.21,3.4,14.9027777777778
"7","NI7",1.503,22.73,4.2,13.8888888888889
