"","Island","Groundwater_WLR","WLR","Elevation","Flooding_Duration_Percent","HT_Frequency_Percent","Max_Dry_Period_days"
"1","NIA1","RUN2","Creek2",1.48,3.9,31,11.83
"2","NIA2","RUN1","Creek1",1.35,8.1,49,7.72
