"","Creek_WLR","Mean_LT","SE_LT","Mean_HT","SE_HT","Mean_HHT","SE_HHT","Max_Tide"
"1","Creek1",-0.15,0.001,1.3,0.045,1.481,0.047,1.914
"2","Creek2",-0.367,0.002,1.293,0.046,1.476,0.048,1.9
"3","Creek3",-0.098,0.001,1.354,0.036,1.505,0.047,1.914
