WLR,Marsh_Elevation,RootZone_Elevation
RUN1_GW,1.406,1.356
NAC1_GW,1.408,1.358
NAC1_Pool,1.417,1.367
Ditch1_GW,1.172,1.122
REF,1.347,1.297
RUN2_GW,1.345,1.295
RUN2_Pool,1.254,1.204
NAC2_GW,1.438,1.418
Ditch2_GW,1.29,1.24
RUN3_GW,1.413,1.363
RUN3_Pool,1.316,1.266
NAC3_GW,1.38,1.33
Ditch3_GW,1.332,1.282
