"","Island","Elevation","Flood_Frequency","Flood_Duration","Dry_Period"
"1","NI1A",1.64,12.73,1.9,10.4166666666667
"2","NI1B",1.6,12.73,2.2,10.4097222222222
"3","NI2A",1.67,12.73,1.7,10.4305555555556
"4","NI2B",1.65,12.73,1.8,10.4236111111111
