WLR,Marsh_Elevation,RootZone_Elevation
RUN1,1.415,1.365
RUN2,1.409,1.359
RUN3,1.409,1.359
RUN4,1.403,1.353
REF,1.431,1.381
NAC,1.409,1.359
Ditch,1.331,1.3
