WLR,Marsh_Elevation,Rootzone_Elevation
RUN1_GW,1.165,1.115
RUN1_Pool,1.005,0.955
RUN2_GW,1.345,1.295
RUN2_Pool,1.197,1.147
RUN3_GW,1.215,1.165
RUN3_Pool,1.050,1.000
NAC1_GW,1.279,1.229
NAC2_GW,1.282,1.232
NAC3_GW,1.090,1.040
Ditch1_GW,1.115,1.065
Ditch2_GW,1.015,0.965
Ditch3_GW,1.131,1.081
